,1,2,3,4,5,6,7,8,9,10,11,12
1992,8.7,8.5,8.7,6.4,7.7,7.4,8,6.8,7.5,7.1,7.4,9.2
1993,8.8,8.8,7.7,7,7,8.7,8.7,8.3,8.2,7.3,7.6,8.4
1994,9,8.2,7.4,6.2,7.1,7.7,6,4.4,7,7.4,7.4,8.8
1995,9.2,8.5,8,7.3,7.1,8.6,8.3,7.2,8.1,7.2,7.9,9.3
1996,8.8,8.7,8.6,7.4,7.7,8.6,8.2,5.9,6.5,6.3,9,8.3
1997,9.2,8.1,7,7,7.4,7.9,7.3,7,8.6,6.2,7.2,8.3
1998,9.5,8.2,7.3,8.1,7.2,8.6,8.1,8.7,7.6,7.5,7.9,8.5
1999,8.8,8.7,7.5,7.4,5.8,7.5,7.5,6.2,7.8,7,7.7,9.1
2000,9.2,9.2,8.2,7.2,7.5,7.8,6.9,5.2,7.9,7.5,7.6,8.6
2001,9.3,8.9,7.9,6.2,6.8,8.4,6.7,6.4,7.3,7.1,7.3,9.2
2002,9,8.6,7.1,6.9,7.4,7.2,8,7.6,7.3,6.9,8.3,9.2
2003,8.7,8.5,7.5,7.5,5.9,8,8.8,8.9,7.8,7.1,7.7,8.9
2004,9.1,8.5,7.5,6.3,8.2,7.6,7.1,7.5,8.1,7.8,7.9,8.4
2005,9,9.4,9,6.5,7.4,8,8.7,7.4,7.4,7.5,7.9,8.9
2006,8.9,9,7.7,8,8.1,8,8.8,5.9,6.9,6.8,7.7,9
2007,8.6,7.4,8.5,7.2,7.3,7.8,8.5,7,7.3,7.1,7.5,9.2
2008,9.3,9.2,7.3,6.7,7,8,8.7,7.6,7.7,7.1,8,7.8
2009,8.8,9.2,8.2,6.7,7.9,7.7,9.3,8.2,8,6.5,7.9,8.6
2010,9.2,8.5,8.7,7.9,7.1,7.4,7.9,6.3,8.1,8.1,7.4,8.6
2011,9.2,7.8,7.8,6.3,7.4,8.4,7.6,7.8,7.2,7.1,8.2,9.1
