年月,平均湿度(％),平均気温(℃),日照時間(時間)
1975/8,71,26.7,297.0
1975/9,73,23.5,214.5
1975/10,72,15.8,134.6
1975/11,71,11.0,132.5
1975/12,75,4.1,67.5
1976/1,72,1.5,68.7
1976/2,71,2.9,94.0
1976/3,66,5.2,169.1
1976/4,66,9.9,202.4
1976/5,70,15.7,212.7
1976/6,81,19.7,143.5
1976/7,75,23.5,240.0
1976/8,81,23.2,145.0
1976/9,76,20.2,174.2
1976/10,74,14.9,137.3
1976/11,69,8.3,113.4
1976/12,70,4.3,63.1
1977/1,74,-0.2,69.6
1977/2,74,0.7,82.9
1977/3,68,5.6,140.6
1977/4,69,10.3,174.8
1977/5,72,14.9,213.3
1977/6,74,20.2,200.9
1977/7,79,24.5,217.1
1977/8,75,24.5,192.1
1977/9,75,22.0,165.7
1977/10,70,16.4,215.6
1977/11,73,11.7,79.6
1977/12,74,6.2,74.4
1978/1,73,2.8,40.7
1978/2,71,0.4,65.2
1978/3,64,4.9,164.8
1978/4,66,10.8,186.8
1978/5,69,16.5,221.7
1978/6,79,21.4,173.0
1978/7,75,27.1,268.4
1978/8,72,27.2,267.9
1978/9,73,21.3,140.5
1978/10,70,15.5,174.4
1978/11,75,10.0,97.6
1978/12,74,5.7,87.7
1979/1,78,3.5,79.9
1979/2,76,4.9,83.7
1979/3,69,5.8,142.3
1979/4,67,10.1,177.4
1979/5,73,15.3,226.8
1979/6,76,22.4,151.4
1979/7,78,23.8,200.8
1979/8,76,25.7,217.3
1979/9,76,21.7,145.5
1979/10,77,17.3,159.9
1979/11,76,11.7,91.1
1979/12,76,7.0,77.5
1980/1,77,2.6,48.3
1980/2,73,1.4,100.8
1980/3,70,4.3,137.9
1980/4,66,10.0,181.2
1980/5,69,16.5,222.3
1980/6,76,21.6,201.4
1980/7,85,22.6,123.6
1980/8,79,23.9,175.8
1980/9,76,21.2,162.8
1980/10,76,15.6,139.5
1980/11,76,10.4,142.1
1980/12,81,4.7,61.1
1981/1,76,1.2,89.3
1981/2,79,1.9,69.1
1981/3,68,5.2,185.5
1981/4,69,10.5,204.9
1981/5,73,14.9,200.6
1981/6,83,19.0,141.9
1981/7,78,25.7,232.2
1981/8,79,25.1,214.7
1981/9,76,20.2,191.6
1981/10,77,15.1,149.7
1981/11,75,7.8,53.2
1981/12,74,5.1,75.0
1982/1,75,2.5,80.7
1982/2,73,2.0,104.4
1982/3,68,6.0,169.0
1982/4,66,11.3,229.5
1982/5,73,17.5,239.2
1982/6,73,19.8,227.4
1982/7,74,23.6,240.1
1982/8,77,26.0,202.5
1982/9,74,20.9,144.6
1982/10,68,16.3,213.4
1982/11,71,11.4,92.6
1982/12,77,6.3,54.7
1983/1,72,2.9,77.0
1983/2,76,1.5,60.4
1983/3,69,5.5,163.1
1983/4,65,13.4,183.9
1983/5,66,17.0,277.2
1983/6,73,19.5,215.7
1983/7,83,23.0,137.1
1983/8,77,26.6,216.2
1983/9,75,22.8,194.3
1983/10,69,15.0,153.2
1983/11,74,9.3,101.0
1983/12,71,3.7,87.7
1984/1,78,0.5,50.5
1984/2,74,-0.2,96.6
1984/3,70,2.4,145.1
1984/4,70,9.2,203.5
1984/5,72,15.2,237.3
1984/6,76,21.9,209.5
1984/7,83,25.5,196.7
1984/8,74,27.6,301.7
1984/9,73,21.6,172.7
1984/10,69,15.2,170.0
1984/11,70,9.3,125.5
1984/12,76,4.4,57.1
1985/1,74,0.1,82.1
1985/2,73,3.2,101.2
1985/3,74,5.0,128.3
1985/4,69,11.9,222.8
1985/5,69,16.9,254.0
1985/6,72,20.0,211.1
1985/7,79,24.2,220.2
1985/8,67,29.2,342.6
1985/9,76,21.5,163.4
1985/10,73,15.5,155.4
1985/11,72,10.0,76.0
1985/12,75,3.5,74.6
1986/1,72,1.0,43.5
1986/2,72,0.7,65.1
1986/3,66,5.3,131.4
1986/4,68,11.0,165.7
1986/5,66,15.6,193.6
1986/6,75,19.4,169.4
1986/7,78,22.3,154.4
1986/8,73,26.4,236.4
1986/9,72,22.5,166.3
1986/10,74,14.6,99.9
1986/11,69,9.3,86.8
1986/12,68,6.1,63.6
1987/1,72,2.3,34.1
1987/2,68,3.1,72.8
1987/3,71,5.5,111.1
1987/4,62,10.7,180.7
1987/5,66,16.6,209.4
1987/6,67,21.5,250.6
1987/7,75,25.2,157.5
1987/8,75,26.0,168.2
1987/9,67,22.8,165.2
1987/10,69,16.9,160.0
1987/11,66,10.5,117.5
1987/12,71,5.9,85.6
